No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
27,正,6.6,0.49,5,1.673,2573
36,恰好,6.4,0.49,5,0.632,56
49,认真,7,0.632,5,1.265,287
55,愿意,6.8,0.748,5,1.414,879
58,支持,7.2,0.4,5,1.789,966
66,死,1.2,0.4,5,3.033,974
82,答应,5.8,0.748,5,1.897,234
96,帮忙,6.4,0.49,5,1.095,297
178,隔离,3.4,0.49,5,1.414,62
182,说长道短,3.2,0.4,5,0.894,0
191,怜悯,5.8,1.166,5,1.414,19
198,亲切,7,0.632,5,1.549,127
209,饶恕,5.6,0.8,5,1.789,0
240,仁术,7.4,0.49,5,2.28,0
248,内疚,3,1.095,5,2.098,20
262,反派,3.2,0.4,5,1.673,0
346,劣,3,0.894,5,0.632,10
356,好处,6.2,0.4,5,1.673,305
374,有效,6.6,0.8,5,1.549,790
375,有益,6.6,0.8,5,1.549,57
378,次要,4.6,0.49,5,1.095,29
388,死路,3.2,0.98,5,1.673,0
404,自鸣得意,4.2,0.4,5,1.897,0
409,伶俐,6.8,0.748,5,1.673,10
418,克制,5,0.632,5,1.673,27
425,利益,6.2,0.748,5,1.673,578
450,巫婆,3.6,0.8,5,1.265,32
454,忍,3.8,0.748,5,1.673,65
545,怪异,3.6,0.49,5,1.414,41
579,泣,3.4,0.49,5,1.095,4
614,勉强,3.8,0.748,5,0.894,130
679,珍惜,7,0.632,5,1.673,139
701,苦恼,3.2,0.4,5,1.673,45
716,首要,5.2,0.4,5,1.673,76
735,容光焕发,7.2,0.4,5,2.098,6
747,恩惠,6.4,0.49,5,1.673,10
755,挫折,3,0.632,5,1.897,234
785,真诚,7,0.632,5,1.095,75
793,神圣,7.2,0.748,5,1.673,66
810,臭味,3.8,0.4,5,1.673,9
819,衰弱,3.2,0.4,5,2.098,26
820,衰退,3.2,0.4,5,1.789,75
825,回避,3.6,0.49,5,1.673,47
828,迷惘,3.4,0.49,5,2.098,25
847,偷,2.4,0.8,5,1.673,110
887,控制,4.2,0.98,5,2.098,758
890,敏感,4.6,0.8,5,1.095,201
915,牵挂,4.4,1.356,5,1.265,15
919,理想,6.8,0.98,5,1.265,450
920,甜言,6.4,0.8,5,1.673,0
922,甜密,7,1.095,5,1.897,0
965,贪念,3.6,0.49,5,2.098,4
977,陈腐,2.8,0.748,5,1.673,10
980,麻烦,3.6,0.49,5,0.894,164
989,善意,6.8,0.4,5,1.673,64
997,喜气,7,0.632,5,1.414,17
1001,喜剧,6.8,0.98,5,2.098,48
1007,丧气,3,0.632,5,1.673,0
1026,悲苦,2.4,0.49,5,1.673,15
1028,悲情,3,0.632,5,1.265,34
1037,悲悯,2.8,0.4,5,2.28,8
1123,跛,3.2,0.98,5,1.673,5
1127,开明,7,0.894,5,1.673,34
1130,阳光,7.2,1.47,5,1.897,317
1133,顺利,7,0.894,5,1.673,509
1145,伤痕,3.6,0.49,5,1.414,38
1176,慈悲,5.6,1.2,5,2.53,72
1204,滑稽,4.2,0.4,5,1.095,13
1242,夸大,3.6,0.49,5,1.265,30
1250,过错,3.2,0.98,5,1.673,20
1274,惨,2.8,0.748,5,1.673,78
1290,疑虑,3.6,1.02,5,1.095,68
1378,乐此,6.4,0.49,5,1.789,0
1384,乐趣,6.4,0.8,5,1.549,186
1385,乐观,7,0.632,5,0.894,171
1402,奖章,6.8,0.4,5,1.673,57
1422,适宜,6.4,0.49,5,0.632,53
1423,适时,6.2,0.4,5,1.265,98
1443,擅长,6.2,0.748,5,1.549,78
1468,融洽,7.4,0.49,5,2.098,36
1479,输家,3,0.632,5,1.789,6
1481,迟到,3.8,0.4,5,0.632,42
1498,优雅,6.8,0.4,5,1.414,80
1500,优点,7,0.632,5,1.095,256
1519,繁琐,3.8,0.98,5,1.095,27
1541,向往,6,0.632,5,1.549,92
1552,坏死,2.8,0.748,5,1.897,25
1554,坏处,3.4,0.49,5,1.095,19
1555,坏话,3.4,0.49,5,1.414,14
1565,赞同,7,0.894,5,1.265,84
1573,愿,6,0.632,5,1.673,682
1580,宝贵,7,0.894,5,1.673,144
1616,变质,3.4,0.49,5,1.265,31
1662,完成,6.4,1.02,5,0.63,1663
1684,达成,6.4,0.49,5,1.79,536
1689,提高,5.8,0.4,5,1.26,783
1691,达到,5.8,0.75,5,1.41,979
1736,主动,5.8,0.75,5,1.41,451
1740,领先,6.4,0.49,5,1.1,178
1746,防止,4.8,0.75,5,0.63,211
1785,杰出,7.4,1.02,5,1.67,219
1798,重要性,5,0.63,5,1.41,193
1835,过关,6,0.63,5,1.67,79
1849,突出,5.6,0.8,5,1.1,84
1867,发达,6,0.63,5,1.67,163
1937,卫冕,6,0.63,5,1.41,21
1940,崭新,6.4,0.49,5,1.55,60
2009,勤奋,6.8,0.4,5,1.9,38
2089,兴盛,6.4,0.8,5,1.26,40
2135,高歌,6,0.63,5,1.41,15
2159,喜气洋洋,7.4,0.49,5,1.67,14
2165,用功,6.2,0.4,5,1.41,90
2168,生日快乐,6.6,0.49,5,1.41,23
2197,与有荣焉,6.6,0.49,5,1.67,13
2246,污染,3,0.63,5,0.63,352
2259,感染,3.2,0.4,5,1.1,263
2260,警告,3.6,0.8,5,1.1,96
2325,控告,3.4,0.49,5,1.67,46
2337,撤销,3.6,0.8,5,1.1,48
2338,通货膨胀,4,0.63,5,0.63,48
2350,恐怕,3.8,0.75,5,0.89,398
2359,判刑,3.4,0.49,5,1.26,29
2372,可疑,3.4,0.8,5,1.26,31
2423,不应该,4,0.63,5,1.1,0
2435,拖延,4.2,0.75,5,1.26,48
2437,传染,3.4,0.49,5,1.1,93
2438,故意,3.8,0.75,5,1.1,216
2441,噪音,3.6,0.49,5,1.1,96
2446,高压,4.2,0.4,5,1.1,46
2447,警报,3.6,0.49,5,1.26,29
2462,占用,3.6,0.49,5,0.63,47
2472,包围,4.2,0.75,5,0.63,52
2478,废止,4,0.63,5,0.63,30
2495,垄断,3.4,0.49,5,0.63,102
2500,废弃,3.4,0.49,5,0.63,34
2508,撤回,4.2,0.98,5,0.63,11
2512,头痛,3.6,0.49,5,0.63,123
2539,分开,3.8,0.75,5,0.63,121
2541,加深,4.6,0.8,5,1.1,86
2558,不彰,3.4,0.49,5,0,67
2580,投机,3.6,0.49,5,1.1,112
2586,地雷,3.2,0.75,5,1.9,9
2602,投降,3.6,0.49,5,0.63,53
2610,卷入,4,0.63,5,1.1,48
2621,昏迷,3,0.63,5,1.9,36
2625,骨折,3.2,0.4,5,0.63,5
2638,投诉,3.8,0.4,5,1.1,22
2640,阻塞,4.2,0.75,5,1.1,61
2653,限定,5,0.63,5,2.1,46
2655,炸药,3.2,0.75,5,1.67,9
2707,切断,4.2,0.75,5,0.63,44
2714,落入,4,0.63,5,1.1,48
2742,饥饿,3.4,0.49,5,1.26,27
2767,讶异,3.8,0.75,5,1.41,45
2775,议论,4.4,0.49,5,0.63,47
2784,践踏,3.8,0.98,5,0.89,22
2812,唾弃,2.8,0.748,5,2.191,12
2852,欲望,4.8,0.4,5,1.414,154
2885,落泪,4.4,0.8,5,1.095,9
2984,追根究底,5.6,0.8,5,1.703,13
3027,大无畏,6.1,0.8,5,0.949,0
3045,困窘,3.2,1.166,5,1.789,12
3054,险境,2.8,0.812,5,1.414,8
3069,过节,3.7,0.4,5,1.14,30
3088,两难,3.6,0.374,5,1.095,12
3118,复杂化,4,0.632,5,1.14,0
3215,学以致用,6.9,0.663,5,1.265,0
3244,先见之明,6.6,1.158,5,1.517,0
3269,苦修,5.2,0.51,5,1.673,0
3306,未雨绸缪,6,1.414,5,0.707,25
3319,暧昧,5.7,0.98,5,1.789,25
3330,休克,2.4,0.97,5,2.608,11
3333,不许,3.5,0.894,5,2.098,21
3399,稀奇,5.9,0.86,5,1.761,23
3417,变好,7,0.949,5,1.095,9
3461,自勉,6.2,1.208,5,1.14,0
3587,游刃有余,7.6,1.194,5,1.541,9
3599,顺耳,5.9,1.025,5,1.225,4
3613,落单,3,1,5,1,6
3619,累人,3.5,0.5,5,1.225,5
3639,酸,4,0.707,5,1.414,5
3660,超重,3.2,1.304,5,1.581,4
3700,别扭,3.2,1.037,5,1.458,0
3716,旗鼓相当,7.3,1.204,5,1.581,6
3718,颇重,4.3,1.255,5,1.541,0
3818,过熟,4.4,1.517,5,1.414,0
3892,庞杂,3.6,0.418,5,1.225,9
3950,优渥,7.9,0.548,5,1.414,13
3964,保佑,6.8,1.255,5,0.707,29
3986,不堪,2.9,0.894,5,1.414,93
4059,大费周章,3.8,0.758,5,0.707,7
4129,天真烂漫,6.6,1.084,5,1.414,4
4198,大剌剌,4.3,0.975,5,1.275,8
4261,爽口 ,6.9,0.652,5,1.369,7
4297,中上,6.8,0.837,5,1.458,9
4333,光明正大,7,1.275,5,1.369,8
4339,名副其实,6.8,0.908,5,1.458,16
4340,名符其实,6.8,0.908,5,1.458,7
4342,多不胜数,6.2,0.837,5,0.935,0
4357,百思不得其解,3.1,0.962,5,1.173,0
4454,怜悯心,5.8,1.166,5,1.414,0
4456,噪声,3.6,0.49,5,1.1,0
4490,自危,3,0.612,5,1.225,0
4508,搞乱,3.3,0.837,5,1.581,0
4597,不可收拾,3.4,0.894,5,1.414,12
4610,匆忙,3.3,0.837,5,1.541,41
4611,匆匆忙忙,3.3,0.837,5,1.541,31
4629,流离失所,2.6,0.894,5,1.225,5
4636,闹别扭,3.8,0.447,5,1.458,0
4694,做错,3.7,0.671,5,1.768,60
4695,做错事,3.7,0.671,5,1.768,0
4754,唯恐不及,3.8,0.837,5,1.62,6
4757,耍贱,3.1,0.894,5,1.118,0
4801,坐立不安,3.7,0.447,5,1.696,10
4844,脏话,3.6,0.652,5,1.696,11
4918,冤孽,3.1,1.294,5,1,0
5064,作孽,1.6,0.894,5,1.225,0
5089,踉跄,4,1.173,5,2.345,5
5145,呕气,3.9,1.14,5,2.55,7
5198,临死,2.7,1.483,5,1.871,0
5245,剽窃,2.9,0.742,5,1.225,6
5257,狡滑,2.8,0.758,5,1.369,0
5258,狡猾,2.8,0.758,5,1.369,8
5269,人人自危,3.6,0.962,5,0.707,12
5277,掉泪,3.2,1.095,5,1.369,6
5331,谋反,2.2,0.758,5,1.458,0
5370,挑拨离间,3.3,0.837,5,1.581,0
5386,惹毛,3.7,0.57,5,1.275,0
5408,忍痛,3.4,0.548,5,0.935,13
2845,烧伤,3.6,0.8,5.1,2.538,0
2903,行骗,3.3,0.748,5.1,0.8,0
2940,电击,4.4,0.374,5.1,1.562,0
2941,挑拨,3.6,0.8,5.1,0.49,8
3126,辜负,3.6,0.49,5.1,1.908,18
3168,互助合作,7.1,0.49,5.1,1.114,0
3259,决断力,6.6,0.8,5.1,1.744,0
3264,熟虑,5.9,0.663,5.1,1.02,0
3270,牢靠,6.2,0.4,5.1,1.281,0
3292,烫伤,3,1.14,5.1,2.596,17
3361,敲诈,3,0.707,5.1,1.908,0
3385,敬爱,7.1,0.97,5.1,1.8,26
3672,碎裂,3.1,0.894,5.1,1.517,5
3744,昙花一现,4.1,0.742,5.1,1.342,22
3754,肿胀,3.9,0.894,5.1,1.517,22
3762,惭愧,2.5,1.225,5.1,1.557,51
3770,有利于,7.7,0.908,5.1,1.342,50
3774,说不过去,3,0.707,5.1,1.14,7
3864,扩增,6.7,1.204,5.1,1.025,49
3915,专精,7.6,1.084,5.1,1.025,30
3938,离异,2.9,0.548,5.1,1.517,9
3951,丰盛,7.7,0.447,5.1,1.342,38
4069,尚可,6,0,5.1,0.781,13
4112,冻僵,4.2,1.037,5.1,1.245,5
4139,事倍功半,3.4,1.084,5.1,1.342,13
4145,冻伤,2.1,0.224,5.1,1.245,0
4197,下垂,3.4,0.894,5.1,1.084,18
4458,还可以,6,0,5.1,0.781,22
4516,离乡背井,3.8,0.837,5.1,1.025,18
4527,困穷,2.3,0.447,5.1,1.342,0
4650,自吹自擂,4.2,0.447,5.1,1.245,0
4652,伤风败俗,1.6,0.548,5.1,1.517,0
4657,流放,2.8,1.095,5.1,1.517,0
4670,瘟疫,2.2,1.304,5.1,1.673,7
4705,诡计多端,2.8,1.095,5.1,1.949,0
4706,奸诈,2,1.414,5.1,1.597,6
4746,撕破,3.6,0.822,5.1,1.746,4
4812,讥讽,3.4,0.894,5.1,1.949,8
4919,狡辩,3.1,1.245,5.1,1.597,5
4987,送葬,2.4,1.673,5.1,2.46,4
5009,压榨,2.5,1,5.1,1.746,0
5044,惹上,3.2,1.304,5.1,2.51,7
5045,惹到,3.2,1.304,5.1,2.51,0
5173,惊觉,4.3,0.975,5.1,2.133,14
5201,陷落,3.6,0.652,5.1,1.746,4
5224,分崩离析,3.3,0.671,5.1,1.673,6
5290,忧惧,3.4,0.418,5.1,1.432,4
5308,强夺,2.9,0.822,5.1,1.245,0
5401,猪狗不如,2.3,0.671,5.1,0.822,0
5438,不暗沉,6.6,0.962,5.1,1.432,0
5439,不暗沉,6.6,0.962,5.1,1.432,0
5440,不黯沉,6.6,0.962,5.1,1.432,0
5459,亮晶晶,6.3,0.908,5.1,1.084,14
5473,干瘪,2.7,0.908,5.1,1.14,0
20,不祥,2.8,0.4,5.2,1.166,20
29,好,6.8,0.4,5.2,0.4,8304
31,否认,3.6,0.49,5.2,1.166,190
44,无趣,3.4,0.8,5.2,0.98,20
52,随便,4.2,0.98,5.2,0.4,203
68,希望,7,0.632,5.2,1.72,3365
71,抱,5.8,0.748,5.2,1.6,219
81,期望,6,0,5.2,1.166,226
87,损失,3.2,0.4,5.2,0.4,208
126,蹩脚,3.6,0.8,5.2,1.939,0
140,交往,6.4,0.49,5.2,1.72,172
174,开玩笑,6.2,0.748,5.2,1.166,105
192,挚友,7.4,0.49,5.2,1.833,0
228,大方,6.4,0.49,5.2,1.166,42
239,仁心,7.4,0.49,5.2,2.315,0
241,仁爱,7.8,0.4,5.2,2.638,34
242,仁慈,7.8,0.748,5.2,2.638,7
263,反感,3.6,0.49,5.2,1.47,33
281,支配,4.6,0.49,5.2,0.748,66
301,可怜,3.6,0.49,5.2,1.47,229
302,可靠,6.8,0.748,5.2,1.327,91
358,好运,6.6,0.49,5.2,1.72,12
365,成见,3.8,0.4,5.2,1.327,44
370,有用,6.4,0.49,5.2,1.327,155
372,有助,6.4,0.49,5.2,1.6,36
394,自甘堕落,2.6,0.8,5.2,1.939,7
395,自由,6.6,0.49,5.2,1.939,674
401,自责,3.6,0.8,5.2,1.166,19
458,扭曲,3.6,0.8,5.2,1.6,103
464,投入,6,0.894,5.2,1.833,506
467,改善,6.6,0.49,5.2,1.327,978
474,沉迷,3,0,5.2,1.47,13
525,奇怪,4.2,0.4,5.2,0.4,362
539,怕生,4,0,5.2,0.748,0
548,承诺,6.6,0.49,5.2,1.833,61
564,昏乱,3.4,0.49,5.2,1.327,0
576,沮丧,2.8,0.748,5.2,1.833,62
606,信奉,6.6,0.8,5.2,1.327,30
629,哈,5.8,0.748,5.2,1.327,294
633,帅,6.6,0.49,5.2,1.327,26
673,流行,5.6,0.49,5.2,0.4,501
680,珍视,7,0.632,5.2,1.939,9
693,美德,7.4,1.02,5.2,2.315,47
708,负担,3.6,0.49,5.2,1.166,245
758,捐赠,6.4,0.8,5.2,1.72,69
760,时髦,6.4,0.49,5.2,1.72,54
781,益处,6.6,0.49,5.2,1.327,24
796,笑容,7.2,0.98,5.2,1.72,135
831,迷路,4.2,0.98,5.2,1.833,18
885,挂念,4.8,1.47,5.2,1.47,8
891,敏锐,6.4,0.49,5.2,1.327,84
903,深情,7.2,0.748,5.2,1.6,17
914,爽朗,6.8,0.4,5.2,1.47,19
970,逗趣,6.4,0.49,5.2,0.748,21
993,喜怒哀乐,5,0,5.2,0.4,15
999,喜新厌旧,3.4,0.49,5.2,1.327,7
1017,尊重,6.8,0.748,5.2,1.327,546
1018,尊贵,6.8,0.748,5.2,0.98,28
1020,尊荣,7.6,0.8,5.2,1.939,5
1021,尊严,6.2,0.98,5.2,1.6,165
1057,愉,5.8,1.47,5.2,1.327,0
1095,犹疑,4,0.894,5.2,0.748,13
1124,跛脚,3.2,0.98,5.2,1.939,4
1137,债务,3,0.632,5.2,0.748,47
1138,伤,3.4,0.8,5.2,1.327,104
1150,伤感,3.4,0.49,5.2,1.327,34
1160,微醺,5.8,0.748,5.2,1.6,4
1170,感情,5.4,0.8,5.2,0.748,648
1219,禁止,3.4,0.8,5.2,1.327,225
1220,禁忌,3,0.632,5.2,1.327,74
1225,罪名,2.6,0.49,5.2,1.327,45
1240,诡计,3.4,0.49,5.2,1.327,5
1251,违心,3,0.632,5.2,1.327,0
1252,违犯,3,0.632,5.2,1.166,5
1258,违规,3.4,0.8,5.2,1.327,165
1263,厌食,2.8,0.4,5.2,2.04,0
1300,精疲力尽,3,0.894,5.2,1.939,0
1317,轻忽,3.8,0.4,5.2,0.748,17
1326,酸甜苦辣,4.8,0.4,5.2,0.4,0
1365,撒谎,3.2,0.4,5.2,0.748,19
1396,奖,6.8,0.4,5.2,1.327,225
1397,奖助,7,0.632,5.2,1.327,28
1399,奖状,7.4,0.49,5.2,1.47,26
1403,奖牌,6.8,0.4,5.2,1.327,23
1406,奖励,7,0.632,5.2,1.327,228
1407,确定,6.2,0.748,5.2,0.4,439
1446,操劳,3.6,0.49,5.2,1.47,0
1480,输掉,3.4,0.8,5.2,1.72,17
1517,糟糕,3.2,0.748,5.2,1.72,65
1523,胆怯,3.2,0.748,5.2,1.47,5
1553,坏事,3.4,0.49,5.2,1.166,64
1564,稳健,7,0.894,5.2,1.327,38
1572,难题,3.6,0.49,5.2,1.72,121
1596,蠢,3,0.632,5.2,1.72,8
1614,变味,3.4,0.49,5.2,1.327,0
1712,坚持,6.2,1.17,5.2,1.17,459
1854,热心,6.4,0.49,5.2,1.47,165
1864,蓬勃,6,1.1,5.2,1.47,100
1942,特大,5.4,0.49,5.2,1.47,6
1966,热诚,6.6,0.49,5.2,1.83,17
2012,夺魁,6.6,1.02,5.2,1.72,14
2023,褒扬,6.2,1.17,5.2,0.98,0
2174,要紧,4.8,0.4,5.2,0.75,57
2247,地震,3.4,1.02,5.2,1.94,202
2255,意外,3.4,1.02,5.2,0.98,210
2270,走私,2.8,0.4,5.2,0.4,58
2278,毒品,3,0,5.2,0.4,101
2287,突然,4.6,0.8,5.2,1.17,627
2292,武力,3.8,0.75,5.2,1.17,144
2352,黑道,3.4,0.49,5.2,0.98,32
2387,推翻,4.2,0.75,5.2,1.72,62
2407,否决,3.8,0.75,5.2,1.33,30
2415,延误,3.6,0.49,5.2,0.75,33
2427,破裂,3.4,0.49,5.2,1.17,61
2461,超出,4.2,0.75,5.2,0.75,51
2479,发烧,3.4,0.8,5.2,0.75,78
2484,海洛因,2.6,0.49,5.2,1.33,0
2493,迫切,3.8,0.75,5.2,1.17,70
2504,太过,4,0.63,5.2,0.98,108
2517,揭露,4,0.63,5.2,1.17,20
2518,对峙,4.4,0.49,5.2,1.17,21
2519,落选,3.2,0.4,5.2,1.33,14
2562,误导,3.6,0.49,5.2,0.4,36
2572,过世,2.4,0.8,5.2,1.47,84
2604,贸然,4,0.63,5.2,1.33,37
2612,拘留,3.6,0.49,5.2,0.75,13
2623,受难者,2.6,0.8,5.2,0.4,0
2643,撤退,3.8,0.75,5.2,1.17,32
2682,招致,4,0.63,5.2,1.17,34
2684,犯人,2.6,0.49,5.2,0.4,32
2698,断裂,3.6,0.8,5.2,1.33,14
2705,灼伤,3.2,0.75,5.2,0.98,0
2712,动手,4,0.63,5.2,0.75,117
2725,拜托,4.4,0.49,5.2,0.75,56
2751,共谋,3.8,0.4,5.2,0.75,0
2764,纵容,3.6,0.49,5.2,1.33,31
2766,违章,3.8,0.4,5.2,0.75,16
2793,牵制,3.8,0.75,5.2,0.75,26
2802,突袭,3.8,0.75,5.2,1.17,6
2803,窃贼,3.1,0.663,5.2,1.166,17
2819,塌陷,3.4,0.8,5.2,1.833,0
2942,下狱,3,0.632,5.2,1.6,0
2988,直截了当,5.5,0.447,5.2,1.166,0
2994,德高望重,7.2,0.927,5.2,1.47,0
3007,快活,6.4,0.49,5.2,1.327,48
3009,羡煞,5.8,0.748,5.2,2.04,0
3038,夸奖,6.3,0.6,5.2,1.03,22
3048,驱散,3.8,0.678,5.2,0.748,0
3057,大意,4.1,0.2,5.2,2.482,13
3061,谣传,4.3,1.327,5.2,1.288,0
3076,对不起,2.9,1.2,5.2,2.04,177
3119,想不到,4.2,0.748,5.2,0.812,76
3165,情愿,6.2,0.748,5.2,1.166,21
3170,顺从,6,1.14,5.2,0.748,21
3191,诚心诚意,7.3,0.6,5.2,0.98,0
3273,妙计,6.6,0.8,5.2,1.166,9
3281,留神,5.9,0.8,5.2,1.288,12
3300,冲出,5.8,0.678,5.2,2.064,18
3304,裂痕,3.2,0.812,5.2,1.965,11
3314,退学,2.8,0.927,5.2,2.227,28
3398,天籁,7.5,0.707,5.2,0.98,13
3449,脸红,5.6,0.735,5.2,1.691,15
3458,喜感,7.2,0.51,5.2,0.51,9
3481,情投意合,6.9,0.86,5.2,1.6,0
3523,足智多谋,7.7,0.812,5.2,0.748,0
3630,恼人,2.5,0.5,5.2,1.483,13
3649,复原,6.9,0.894,5.2,1.643,36
3651,硬着头皮,3.1,0.894,5.2,1.643,11
3815,杂七杂八,2.7,1.037,5.2,1.304,7
3826,坏掉,2.6,1.194,5.2,1.304,16
3828,碍手碍脚,2,0.707,5.2,1.44,6
3891,繁杂,3.7,0.975,5.2,1.483,23
3925,独具慧眼,6.9,0.548,5.2,1.789,0
3946,骚包,3.6,1.14,5.2,1.525,5
3976,耗损,4,1.225,5.2,1.643,9
3977,损耗,4,1.225,5.2,1.643,9
4065,出错,2.5,1.225,5.2,1.304,24
4066,失礼,2.4,1.342,5.2,1.643,10
4274,新潮 ,6.5,0.612,5.2,0.837,23
4336,吃香,6.7,0.908,5.2,1.44,10
4399,快快活活,6.4,0.49,5.2,1.327,0
4400,沉迷,3,0,5.2,1.47,17
4434,无趣味,3.4,0.8,5.2,0.98,0
4435,没趣味,3.4,0.8,5.2,0.98,0
4436,没趣,3.4,0.8,5.2,0.98,0
4437,筋疲力尽,3,0.894,5.2,1.939,6
4445,热诚地,6.6,0.49,5.2,1.83,0
4455,热心肠,6.4,0.49,5.2,1.47,0
4498,狗嘴里吐不出象牙,2.9,0.652,5.2,0.837,0
4499,狗嘴吐不出象牙,2.9,0.652,5.2,0.837,0
